Size,Density,Percentage_of_trees_burned
50.000000,0.01,4.16
50.000000,0.02,2.16
50.000000,0.03,1.48
50.000000,0.04,1.15
50.000000,0.05,0.97
50.000000,0.06,0.85
50.000000,0.07,0.79
50.000000,0.08,0.70
50.000000,0.09,0.64
50.000000,0.10,0.61
50.000000,0.11,0.58
50.000000,0.12,0.59
50.000000,0.13,0.54
50.000000,0.14,0.53
50.000000,0.15,0.51
50.000000,0.16,0.51
50.000000,0.17,0.51
50.000000,0.18,0.52
50.000000,0.19,0.50
50.000000,0.20,0.49
50.000000,0.21,0.52
50.000000,0.22,0.53
50.000000,0.23,0.55
50.000000,0.24,0.54
50.000000,0.25,0.57
50.000000,0.26,0.58
50.000000,0.27,0.56
50.000000,0.28,0.60
50.000000,0.29,0.62
50.000000,0.30,0.61
50.000000,0.31,0.64
50.000000,0.32,0.65
50.000000,0.33,0.74
50.000000,0.34,0.72
50.000000,0.35,0.78
50.000000,0.36,0.83
50.000000,0.37,0.89
50.000000,0.38,1.06
50.000000,0.39,1.03
50.000000,0.40,1.08
50.000000,0.41,1.21
50.000000,0.42,1.27
50.000000,0.43,1.44
50.000000,0.44,1.53
50.000000,0.45,1.73
50.000000,0.46,1.97
50.000000,0.47,2.29
50.000000,0.48,2.39
50.000000,0.49,2.83
50.000000,0.50,3.44
50.000000,0.51,4.22
50.000000,0.52,4.91
50.000000,0.53,6.11
50.000000,0.54,7.29
50.000000,0.55,10.24
50.000000,0.56,12.53
50.000000,0.57,16.03
50.000000,0.58,23.09
50.000000,0.59,30.61
50.000000,0.60,37.13
50.000000,0.61,44.59
50.000000,0.62,56.46
50.000000,0.63,64.39
50.000000,0.64,72.49
50.000000,0.65,79.91
50.000000,0.66,83.10
50.000000,0.67,86.97
50.000000,0.68,89.19
50.000000,0.69,92.39
50.000000,0.70,93.27
50.000000,0.71,94.99
50.000000,0.72,95.95
50.000000,0.73,96.84
50.000000,0.74,96.85
50.000000,0.75,97.96
50.000000,0.76,98.32
50.000000,0.77,98.87
50.000000,0.78,99.04
50.000000,0.79,99.43
50.000000,0.80,99.12
50.000000,0.81,99.60
50.000000,0.82,99.37
50.000000,0.83,99.52
50.000000,0.84,99.76
50.000000,0.85,99.89
50.000000,0.86,99.62
50.000000,0.87,99.84
50.000000,0.88,99.96
50.000000,0.89,99.87
50.000000,0.90,99.97
50.000000,0.91,99.98
50.000000,0.92,99.99
50.000000,0.93,99.99
50.000000,0.94,100.00
50.000000,0.95,100.00
50.000000,0.96,100.00
50.000000,0.97,100.00
50.000000,0.98,100.00
50.000000,0.99,100.00
50.000000,1.00,100.00
